SIM. N|ART      |AWT      |CS       |NOQTC    
    0 |  129.90 |  219.70 |    7.00 |    4.00
    0 |  269.50 |  450.80 |   14.00 |    6.00
    0 |  449.33 |  846.00 |   23.00 |   10.00
    0 |  649.20 | 1033.45 |   29.00 |   11.00
    0 |  887.92 | 1218.52 |   34.00 |   12.00
    0 | 1139.12 | 1432.35 |   39.00 |   12.00
    0 | 1348.17 | 1626.43 |   44.00 |   12.00
    0 | 1590.62 | 1847.85 |   49.00 |   12.00
    0 | 1698.88 | 1958.72 |   54.00 |   12.00
    0 | 1899.59 | 2149.97 |   59.00 |   12.00
    0 | 2171.35 | 2405.99 |   64.00 |   12.00
    0 | 2404.97 | 2633.09 |   69.00 |   12.00
    0 | 2482.01 | 2701.10 |   74.00 |   12.00
    0 | 2527.85 | 2744.15 |   79.00 |   12.00
    0 | 2638.19 | 2847.19 |   84.00 |   12.00
    0 | 2844.90 | 3044.79 |   89.00 |   12.00
    0 | 3025.44 | 3220.79 |   94.00 |   12.00
    0 | 3226.64 | 3417.94 |   99.00 |   12.00
    0 | 3447.18 | 3636.25 |  104.00 |   12.00
    0 | 3703.43 | 3887.92 |  109.00 |   12.00
    0 | 3892.12 | 4069.24 |  114.00 |   12.00
    0 | 4122.98 | 4298.16 |  119.00 |   12.00
    0 | 4186.75 | 4361.42 |  124.00 |   12.00
    0 | 4375.12 | 4545.63 |  129.00 |   12.00
    0 | 4595.87 | 4766.50 |  134.00 |   12.00
    0 | 4772.23 | 4942.70 |  139.00 |   12.00
    0 | 4988.02 | 5158.65 |  144.00 |   12.00
    0 | 5158.75 | 5329.68 |  149.00 |   12.00
    0 | 5148.07 | 5316.98 |  154.00 |   12.00
    0 | 5190.37 | 5359.02 |  159.00 |   12.00
    0 | 5471.91 | 5635.92 |  164.00 |   12.00
    0 | 5668.54 | 5829.70 |  169.00 |   12.00
    0 | 5792.72 | 5957.04 |  174.00 |   12.00
    0 | 5965.20 | 6127.19 |  179.00 |   12.00
