SIM. N|ART      |AWT      |CS       |NOQTC    
    0 |  135.60 |  135.60 |    5.00 |    2.00
    0 |  267.70 |  282.90 |   11.00 |    2.00
    0 |  480.47 |  492.27 |   16.00 |    2.00
    0 |  699.30 |  727.55 |   23.00 |    3.00
    0 |  959.56 |  996.00 |   29.00 |    3.00
    0 | 1217.83 | 1263.63 |   35.00 |    3.00
    0 | 1433.40 | 1498.71 |   41.00 |    3.00
    0 | 1678.08 | 1739.42 |   46.00 |    3.00
    0 | 1800.64 | 1897.36 |   53.00 |    3.00
    0 | 1999.94 | 2113.28 |   59.00 |    3.00
    0 | 2251.84 | 2404.49 |   66.00 |    3.00
    0 | 2481.12 | 2651.63 |   72.00 |    3.00
    0 | 2552.34 | 2766.34 |   79.00 |    3.00
    0 | 2604.64 | 2833.89 |   85.00 |    3.00
    0 | 2700.93 | 2977.73 |   92.00 |    3.00
    0 | 2902.69 | 3191.25 |   98.00 |    3.00
    0 | 3066.76 | 3403.72 |  105.00 |    3.00
    0 | 3247.58 | 3640.22 |  112.00 |    3.00
    0 | 3482.77 | 3830.31 |  116.00 |    3.00
    0 | 3726.23 | 4094.42 |  122.00 |    3.00
    0 | 3919.62 | 4270.39 |  127.00 |    3.00
    0 | 4142.93 | 4511.94 |  133.00 |    3.00
    0 | 4195.96 | 4609.37 |  140.00 |    3.00
    0 | 4377.45 | 4806.51 |  146.00 |    3.00
    0 | 4603.28 | 5020.59 |  151.00 |    3.00
    0 | 4775.88 | 5209.35 |  157.00 |    3.00
    0 | 4983.96 | 5436.16 |  163.00 |    3.00
    0 | 5146.50 | 5622.38 |  169.00 |    3.00
    0 | 5066.35 | 5749.15 |  181.00 |    3.00
    0 | 5103.35 | 5799.28 |  187.00 |    3.00
    0 | 5393.54 | 6069.65 |  192.00 |    3.00
    0 | 5583.81 | 6274.46 |  198.00 |    3.00
    0 | 5703.91 | 6409.53 |  204.00 |    3.00
    0 | 5868.69 | 6591.21 |  210.00 |    3.00
    0 | 6039.33 | 6743.19 |  215.00 |    3.00
    0 | 6249.44 | 6970.26 |  221.00 |    3.00
    0 | 6446.71 | 7186.26 |  227.00 |    3.00
    0 | 6612.62 | 7404.14 |  234.00 |    3.00
    0 | 6750.41 | 7555.86 |  240.00 |    3.00
    0 | 6868.86 | 7726.41 |  247.00 |    3.00
    0 | 7079.01 | 7953.59 |  253.00 |    3.00
    0 | 7198.69 | 8053.33 |  258.00 |    3.00
    0 | 7292.23 | 8162.48 |  264.00 |    3.00
    0 | 7463.25 | 8384.68 |  271.00 |    3.00
    0 | 7705.92 | 8644.97 |  277.00 |    3.00
    0 | 7950.03 | 8910.76 |  283.00 |    3.00
    0 | 8043.38 | 9018.38 |  289.00 |    3.00
    0 | 8161.96 | 9185.68 |  296.00 |    3.00
    0 | 8345.80 | 9425.38 |  303.00 |    3.00
    0 | 8522.84 | 9619.69 |  309.00 |    3.00
    0 | 8655.56 | 9769.49 |  315.00 |    3.00
    0 | 8742.87 | 9836.94 |  320.00 |    3.00
    0 | 8896.63 |10042.86 |  327.00 |    3.00
    0 | 9026.86 |10226.11 |  334.00 |    3.00
    0 | 9109.41 |10288.17 |  339.00 |    3.00
    0 | 9166.13 |10358.29 |  345.00 |    3.00
    0 | 9437.14 |10645.02 |  351.00 |    3.00
    0 | 9531.38 |10757.43 |  357.00 |    3.00
    0 | 9688.87 |10973.51 |  364.00 |    3.00
    0 | 9733.57 |11106.50 |  372.00 |    3.00
    0 | 9964.90 |11356.70 |  378.00 |    3.00
    0 |10081.71 |11525.80 |  385.00 |    3.00
    0 |10196.59 |11658.49 |  391.00 |    3.00
    0 |10342.28 |11859.29 |  398.00 |    3.00
    0 |10501.59 |12036.57 |  404.00 |    3.00
    0 |10599.39 |12180.93 |  411.00 |    3.00
    0 |10722.13 |12281.29 |  416.00 |    3.00
    0 |10921.68 |12497.12 |  422.00 |    3.00
    0 |11111.89 |12700.52 |  428.00 |    3.00
    0 |11245.94 |12812.74 |  433.00 |    3.00
    0 |11393.30 |12976.14 |  439.00 |    3.00
    0 |11448.00 |13110.80 |  447.00 |    3.00
    0 |11648.69 |13289.92 |  452.00 |    3.00
    0 |11893.76 |13453.05 |  455.00 |    3.00
    0 |12053.12 |13628.75 |  461.00 |    3.00
    0 |12250.54 |13806.34 |  466.00 |    3.00
    0 |12464.70 |14071.75 |  473.00 |    3.00
    0 |12695.01 |14356.06 |  480.00 |    3.00
    0 |12961.25 |14612.79 |  485.00 |    3.00
    0 |13161.75 |14904.41 |  493.00 |    3.00
    0 |13298.85 |15057.78 |  499.00 |    3.00
    0 |13488.01 |15263.17 |  505.00 |    3.00
    0 |13646.04 |15400.72 |  510.00 |    3.00
    0 |13808.89 |15543.58 |  515.00 |    3.00
    0 |14000.52 |15784.70 |  522.00 |    3.00
    0 |14173.01 |16011.26 |  529.00 |    3.00
    0 |14247.02 |16101.02 |  535.00 |    3.00
    0 |14467.00 |16338.51 |  541.00 |    3.00
    0 |14573.17 |16495.56 |  548.00 |    3.00
    0 |14866.84 |16808.50 |  554.00 |    3.00
    0 |14974.43 |16928.62 |  560.00 |    3.00
    0 |15113.13 |17081.08 |  566.00 |    3.00
    0 |15276.65 |17258.10 |  572.00 |    3.00
    0 |15553.52 |17554.64 |  578.00 |    3.00
    0 |15718.17 |17698.57 |  583.00 |    3.00
    0 |15853.94 |17884.62 |  590.00 |    3.00
    0 |16074.91 |18089.09 |  595.00 |    3.00
    0 |16257.61 |18289.19 |  601.00 |    3.00
    0 |16394.36 |18474.46 |  608.00 |    3.00
    0 |16457.62 |18550.89 |  614.00 |    3.00
    1 |  179.60 |  179.60 |    4.00 |    1.00
    1 |  455.90 |  455.90 |    9.00 |    1.00
    1 |  833.33 |  833.33 |   15.00 |    3.00
    1 | 1137.90 | 1137.90 |   20.00 |    3.00
    1 | 1382.36 | 1382.36 |   25.00 |    3.00
    1 | 1622.90 | 1629.13 |   31.00 |    3.00
    1 | 1871.37 | 1902.69 |   38.00 |    3.00
    1 | 2033.78 | 2061.18 |   43.00 |    3.00
    1 | 2156.62 | 2212.71 |   50.00 |    3.00
    1 | 2321.92 | 2372.40 |   55.00 |    3.00
    1 | 2469.89 | 2515.78 |   60.00 |    3.00
    1 | 2639.73 | 2739.37 |   68.00 |    3.00
    1 | 2840.55 | 2959.43 |   74.00 |    3.00
    1 | 3013.34 | 3168.20 |   81.00 |    3.00
    1 | 3120.92 | 3314.21 |   88.00 |    3.00
    1 | 3303.28 | 3549.91 |   95.00 |    3.00
    1 | 3444.34 | 3676.47 |  100.00 |    3.00
    1 | 3644.63 | 3891.87 |  106.00 |    3.00
    1 | 3683.89 | 3974.94 |  113.00 |    3.00
    1 | 3798.23 | 4107.59 |  119.00 |    3.00
    1 | 4008.10 | 4369.36 |  126.00 |    3.00
    1 | 4106.01 | 4485.76 |  132.00 |    3.00
    1 | 4288.62 | 4680.86 |  138.00 |    3.00
    1 | 4465.81 | 4949.95 |  146.00 |    3.00
    1 | 4720.69 | 5126.30 |  149.00 |    3.00
    1 | 4929.23 | 5350.02 |  155.00 |    3.00
    1 | 5114.32 | 5587.66 |  162.00 |    3.00
    1 | 5347.42 | 5803.86 |  167.00 |    3.00
    1 | 5469.19 | 5973.63 |  174.00 |    3.00
    1 | 5603.63 | 6123.56 |  180.00 |    3.00
    1 | 5786.15 | 6355.10 |  187.00 |    3.00
    1 | 5988.28 | 6549.06 |  192.00 |    3.00
    1 | 6173.61 | 6784.36 |  199.00 |    3.00
    1 | 6428.51 | 6999.89 |  203.00 |    3.00
    1 | 6663.77 | 7258.53 |  209.00 |    3.00
    1 | 6923.17 | 7602.96 |  217.00 |    3.00
    1 | 7076.36 | 7812.93 |  224.00 |    3.00
    1 | 7299.91 | 8091.26 |  231.00 |    3.00
    1 | 7533.41 | 8341.08 |  237.00 |    3.00
    1 | 7788.02 | 8579.10 |  242.00 |    3.00
    1 | 8036.34 | 8813.78 |  247.00 |    3.00
    1 | 8209.58 | 9004.50 |  253.00 |    3.00
    1 | 8448.50 | 9332.57 |  261.00 |    3.00
    1 | 8682.84 | 9517.15 |  265.00 |    3.00
    1 | 8814.54 | 9697.06 |  272.00 |    3.00
    1 | 8987.93 | 9851.26 |  277.00 |    3.00
    1 | 9210.17 |10091.56 |  283.00 |    3.00
    1 | 9427.30 |10260.06 |  287.00 |    3.00
    1 | 9687.02 |10571.99 |  294.00 |    3.00
    1 | 9952.47 |10889.31 |  301.00 |    3.00
    1 |10118.50 |11073.68 |  307.00 |    3.00
    1 |10245.92 |11253.87 |  314.00 |    3.00
    1 |10322.86 |11349.55 |  320.00 |    3.00
    1 |10438.87 |11516.53 |  327.00 |    3.00
    1 |10659.93 |11795.61 |  334.00 |    3.00
    1 |10638.97 |11896.25 |  343.00 |    3.00
    1 |10954.23 |12122.12 |  346.00 |    3.00
    1 |10990.79 |12279.99 |  355.00 |    3.00
    1 |11047.42 |12423.78 |  363.00 |    3.00
    1 |11137.97 |12529.24 |  369.00 |    3.00
    1 |11396.37 |12764.84 |  374.00 |    3.00
    1 |11560.27 |12906.67 |  379.00 |    3.00
    1 |11796.16 |13200.00 |  386.00 |    3.00
    1 |12039.46 |13433.57 |  391.00 |    3.00
    1 |12117.29 |13637.88 |  400.00 |    3.00
    1 |12205.69 |13743.88 |  406.00 |    3.00
    1 |12221.63 |13812.89 |  413.00 |    3.00
    1 |12458.05 |14025.91 |  418.00 |    3.00
    1 |12730.87 |14362.28 |  425.00 |    3.00
    1 |12905.64 |14592.63 |  432.00 |    3.00
    1 |12953.59 |14654.68 |  438.00 |    3.00
    1 |13186.44 |14989.57 |  446.00 |    3.00
    1 |13300.40 |15159.10 |  453.00 |    3.00
    1 |13494.84 |15366.91 |  459.00 |    3.00
    1 |13700.97 |15548.07 |  464.00 |    3.00
    1 |13886.66 |15830.94 |  472.00 |    3.00
    1 |14107.17 |16001.23 |  476.00 |    3.00
